Player,Salary,Pos,Age,Tm,G,MP,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,BPM,VORP
Zhou Qi,"$815,615 ",C,22,HOU,16,87,0.6,0.303,11.7,1.5,1.1,6.8,18.2,19.5,-0.4,0.1,-0.2,-10.1,-0.2
Zaza Pachulia,"$3,477,600 ",C,33,GSW,66,937,16.8,0.608,18.5,15.4,1.9,1.3,19.3,17.2,1.7,1.4,3.1,0.8,0.7
Zach Randolph,"$12,307,692 ",PF,36,SAC,59,1508,17.3,0.529,15,14.9,1.4,0.6,12.5,27.6,0.3,1.1,1.4,-1.9,0
Zach LaVine,"$3,202,217 ",SG,22,CHI,24,656,14.6,0.499,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.4,-2.6,-0.1
Zach Collins,"$3,057,240 ",C,20,POR,62,979,8.2,0.487,11.7,7.3,0.8,2.5,15.6,15.5,-0.4,1.2,0.8,-2.9,-0.2
Yogi Ferrell,"$1,312,611 ",SG,24,DAL,79,2238,11.5,0.543,6.1,13.3,1.4,0.3,9.1,17,1.6,1.6,3.1,-0.9,0.6
Xavier Silas,"$74,159 ",SG,30,BOS,2,7,-4.9,0,15.7,0,7.2,0,0,19.2,-0.1,0,0,-13.3,0
Xavier Rathan-Mayes,"$46,080 ",SG,23,MEM,5,118,0.9,0.315,2.5,23.2,2.6,2.4,19.3,21.7,-0.5,0.1,-0.4,-10.6,-0.3
Xavier Munford,$0 ,SG,25,MIL,6,21,-2.1,0.218,2.8,24.7,2.4,0,22.5,19.2,-0.1,0,-0.1,-13.8,-0.1
Wilson Chandler,"$12,016,854 ",SF,30,DEN,70,2200,11.1,0.543,9.5,9.7,0.9,1.4,12,14.6,2,1,3.1,-1,0.5
Willy Hernangomez,"$1,435,750 ",C,23,TOT,45,430,20.6,0.592,19.3,11,1.8,2.8,15.4,21.7,0.8,0.6,1.4,0.5,0.3
Willy Hernangomez,"$1,435,750 ",C,23,CHO,19,197,25,0.589,23.4,7.1,2,3,7.3,21,0.7,0.3,1.1,1.8,0.2
Willy Hernangomez,"$1,435,750 ",C,23,NYK,26,233,16.9,0.595,16,14.4,1.7,2.6,21.8,22.3,0.1,0.3,0.3,-0.6,0.1
Willie Reed,"$1,577,230 ",C,27,LAC,39,419,19.4,0.669,15.7,3.3,1,4.4,11.6,16.8,1,0.5,1.5,-0.7,0.1
Willie Reed,"$1,577,230 ",C,27,TOT,42,428,19.2,0.671,15.5,3.6,1,4.3,11.6,16.6,1,0.5,1.6,-0.8,0.1
Willie Reed,"$1,577,230 ",C,27,DET,3,9,8.7,1,6.1,15.9,0,0,0,4.9,0,0,0,-2.4,0
Willie Cauley-Stein,"$3,704,160 ",C,24,SAC,70,1943,17.1,0.523,14.1,13.5,1.9,3.1,11.3,21.6,1.3,2,3.3,0,1
Will Barton,"$3,533,333 ",SG,27,DEN,77,2530,15.9,0.557,8.6,18.5,1.6,1.6,11.8,20.5,3.9,1.7,5.6,0.8,1.8
